"HCDBcaseId","caseNumber","caseName","representative_side","rep_number","RepGeneral","RepSpecific","Name","Title","Status1","Status2","Status2State","Gender","Role","Notes"
1995032,"A49/1994","Shop, Distributive & Allied Employees Association v Minister for Industrial Affairs (SA)","Appellant",1,"Appellant/applicant/plaintiff/petitioner","Appellant","WJN Wells","Mr","QC","No, not solicitor general",NA,"Male","Speaker - Major",NA
1995032,"A49/1994","Shop, Distributive & Allied Employees Association v Minister for Industrial Affairs (SA)","Appellant",2,"Appellant/applicant/plaintiff/petitioner","Appellant","PA McNamara","Mr","Barrister or solicitor","No, not solicitor general",NA,"Male","Appearance (non-speaker)",NA
1995032,"A49/1994","Shop, Distributive & Allied Employees Association v Minister for Industrial Affairs (SA)","Respondent",1,"Respondent/defendant","Respondent","JJ Doyle","Mr","QC","No, not solicitor general",NA,"Male","Speaker - Major",NA
1995032,"A49/1994","Shop, Distributive & Allied Employees Association v Minister for Industrial Affairs (SA)","Respondent",2,"Respondent/defendant","Respondent","NA Manetta","Dr","QC","No, not solicitor general",NA,"Male","Appearance (non-speaker)",NA
1995033,"S103/1992","Savvas v The Queen","Appellant",1,"Appellant/applicant/plaintiff/petitioner","Appellant","PJ Hidden","Mr","QC","No, not solicitor general",NA,"Male","Speaker - Major",NA
1995033,"S103/1992","Savvas v The Queen","Appellant",2,"Appellant/applicant/plaintiff/petitioner","Appellant","ML Brabazon","Mr","Barrister or solicitor","No, not solicitor general",NA,"Male","Speaker - Major",NA
1995033,"S103/1992","Savvas v The Queen","Respondent",1,"Respondent/defendant","Respondent","K Mason","Mr","QC","Yes solicitor general",3,"Male","Speaker - Major",NA
1995033,"S103/1992","Savvas v The Queen","Respondent",2,"Respondent/defendant","Respondent","GS Hosking","Mr","Barrister or solicitor","No, not solicitor general",NA,"Male","Appearance (non-speaker)",NA
1995034,"P14/1994","Carter v Managing Partner, Northmore Hale Davy & Leake","Appellant",1,"Appellant/applicant/plaintiff/petitioner","Appellant","IM Barker","Mr","QC","No, not solicitor general",NA,"Male","Speaker - Major",NA
1995034,"P14/1994","Carter v Managing Partner, Northmore Hale Davy & Leake","Appellant",2,"Appellant/applicant/plaintiff/petitioner","Appellant","PG Clifford","Mr","Barrister or solicitor","No, not solicitor general",NA,"Male","Appearance (non-speaker)",NA
1995034,"P14/1994","Carter v Managing Partner, Northmore Hale Davy & Leake","Respondent",1,"Respondent/defendant","Respondent 1, 2 & 3","SP Charles","Mr","QC","No, not solicitor general",NA,"Male","Speaker - Major",NA
1995034,"P14/1994","Carter v Managing Partner, Northmore Hale Davy & Leake","Respondent",2,"Respondent/defendant","Respondent 1, 2 & 3","AM Kennedy","Ms","Barrister or solicitor","No, not solicitor general",NA,"Female","Appearance (non-speaker)",NA
1995034,"P14/1994","Carter v Managing Partner, Northmore Hale Davy & Leake","Respondent",3,"Respondent/defendant","Respondent 4 &5","JJ Garnsey","Mr","QC","No, not solicitor general",NA,"Male","Speaker - Major",NA
1995034,"P14/1994","Carter v Managing Partner, Northmore Hale Davy & Leake","Respondent",4,"Respondent/defendant","Respondent 4 &5","GH Murphy","Mr","Barrister or solicitor","No, not solicitor general",NA,"Male","Appearance (non-speaker)",NA
1995035,"M63/1994","Masciantonio v The Queen","Appellant",1,"Appellant/applicant/plaintiff/petitioner","Appellant","MS Weinberg","Mr","QC","No, not solicitor general",NA,"Male","Speaker - Major",NA
1995035,"M63/1994","Masciantonio v The Queen","Appellant",2,"Appellant/applicant/plaintiff/petitioner","Appellant","OP Holdenson","Mr","Barrister or solicitor","No, not solicitor general",NA,"Male","Appearance (non-speaker)",NA
1995035,"M63/1994","Masciantonio v The Queen","Respondent",1,"Respondent/defendant","Respondent","BD Bongiorno","Mr","QC","No, not solicitor general",NA,"Male","Speaker - Major",NA
1995035,"M63/1994","Masciantonio v The Queen","Respondent",2,"Respondent/defendant","Respondent","T Gyorffy","Mr","Barrister or solicitor","No, not solicitor general",NA,"Male","Appearance (non-speaker)",NA
1995036,"S129/1994","Sydney City Council v Garbett Pty Ltd","Appellant",1,"Appellant/applicant/plaintiff/petitioner","Appellant","RV Gyles","Mr","QC","No, not solicitor general",NA,"Male","Speaker - Major",NA
1995036,"S129/1994","Sydney City Council v Garbett Pty Ltd","Appellant",2,"Appellant/applicant/plaintiff/petitioner","Appellant","KM Guilfoyle","Ms","Barrister or solicitor","No, not solicitor general",NA,"Female","Appearance (non-speaker)",NA
1995036,"S129/1994","Sydney City Council v Garbett Pty Ltd","Respondent",1,"Respondent/defendant","Respondent","MH Tobias","Mr","QC","No, not solicitor general",NA,"Male","Speaker - Major",NA
1995036,"S129/1994","Sydney City Council v Garbett Pty Ltd","Respondent",2,"Respondent/defendant","Respondent","TS Hale","Mr","Barrister or solicitor","No, not solicitor general",NA,"Male","Appearance (non-speaker)",NA
1995037,"S193/1994","Pitkin v The Queen","Appellant",1,"Appellant/applicant/plaintiff/petitioner","Applicant","SJ Odgers","Mr","Barrister or solicitor","No, not solicitor general",NA,"Male","Appearance (non-speaker)",NA
1995037,"S193/1994","Pitkin v The Queen","Respondent",1,"Respondent/defendant","Respondent","NR Cowdery","Mr","QC","No, not solicitor general",NA,"Male","Speaker - Major",NA
1995038,"S182/1994","McAuliffe v The Queen","Appellant",1,"Appellant/applicant/plaintiff/petitioner","Appellant","SR Norrish","Mr","QC","No, not solicitor general",NA,"Male","Speaker - Major",NA
1995038,"S182/1994","McAuliffe v The Queen","Appellant",2,"Appellant/applicant/plaintiff/petitioner","Appellant","CT Loukas","Ms","Barrister or solicitor","No, not solicitor general",NA,"Female","Appearance (non-speaker)",NA
1995038,"S182/1994","McAuliffe v The Queen","Respondent",1,"Respondent/defendant","Respondent","K Mason","Mr","QC","Yes solicitor general",3,"Male","Speaker - Major",NA
1995038,"S182/1994","McAuliffe v The Queen","Respondent",2,"Respondent/defendant","Respondent","PG Berman","Mr","Barrister or solicitor","No, not solicitor general",NA,"Male","Appearance (non-speaker)",NA
1995039,"S184/1994","McAuliffe v The Queen","Appellant",1,"Appellant/applicant/plaintiff/petitioner","Appellant","GR James","Mr","QC","No, not solicitor general",NA,"Male","Speaker - Major",NA
1995039,"S184/1994","McAuliffe v The Queen","Appellant",2,"Appellant/applicant/plaintiff/petitioner","Appellant","SJ Odgers","Mr","Barrister or solicitor","No, not solicitor general",NA,"Male","Appearance (non-speaker)",NA
1995039,"S184/1994","McAuliffe v The Queen","Respondent",1,"Respondent/defendant","Respondent","K Mason","Mr","QC","Yes solicitor general",3,"Male","Speaker - Major",NA
